structure,count
A→A→B→B→C→C→D→D→A→A→D→D→C→C→B→B→C→C→D→D→A,1
A→A→B→B→A→A→C→C→B→B→A→A→B→B→C→C→D→D→A→A→B,1
A→A→B→B→C→C→D→D→C→C→B→B→A→A→B→B→A→A→B→B→C,1
A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→C→C→B→B→A,1
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→D→D→A,1
A→A→B→B→C→C→D→D→C→C→D→D→A→A→C→C→D→D→C→C→D,1
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→A,1
A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→A→A→B→B→C,1
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→D→D→C→C→B,1
A→A→B→B→A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C,1
A→A→B→B→C→C→A→A→B→B→D→D→C→C→A→A→B→B→A→A→C,1
A→A→B→B→C→C→D→D→B→B→E→E→D→D→B→B→E→E→D→D→B,1
A→A→B→B→C→C→D→D→C→C→A→A→B→B→C→C→D→D→B→B→A,1
A→A→B→B→A→A→C→C→D→D→E→E→D→D→C→C→E→E→D→D→E,1
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→C,1
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C,1
A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→B→B→C→C→B,1
A→A→B→B→C→C→A→A→D→D→A→A→B→B→C→C→E→E→C→C→A,1
A→A→B→B→A→A→C→C→B→B→A→A→D→D→B→B→A→A→E→E→D,1
A→A→B→B→C→C→A→A→B→B→A→A→D→D→C→C→A→A→B→B→A,1
A→A→B→B→C→C→D→D→A→A→B→B→C→C→B→B→A→A→C→C→B,1
A→A→B→B→A→A→B→B→A→A→C→C→D→D→C→C→D→D→C→C→D,1
A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C→C→D,1
A→A→B→B→A→A→C→C→B→B→A→A→C→C→A→A→C→C→A→A→B,1
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B→B→A→A→C,1
A→A→B→B→C→C→D→D→C→C→B→B→D→D→C→C→D→D→C→C→B,1
A→A→B→B→A→A→C→C→D→D→A→A→B→B→A→A→C→C→D→D→A,1
A→A→B→B→A→A→B→B→A→A→C→C→A→A→B→B→A→A→B→B→A,1
A→A→B→B→C→C→D→D→E→E→C→C→D→D→C→C→B→B→D→D→C,1
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C→C→B→B→C,1
A→A→B→B→C→C→A→A→D→D→C→C→D→D→C→C→A→A→B→B→A,1
A→A→B→B→C→C→D→D→B→B→C→C→B→B→A→A→C→C→B→B→D,1
A→A→B→B→C→C→D→D→B→B→A→A→B→B→A→A→C→C→B→B→A,1
A→A→B→B→C→C→B→B→D→D→A→A→B→B→C→C→B→B→D→D→C,1
A→A→B→B→A→A→C→C→B→B→A→A→C→C→D→D→C→C→A→A→B,1
A→A→B→B→C→C→B→B→A→A→B→B→C→C→D→D→B→B→C→C→B,1
A→A→B→B→C→C→D→D→B→B→C→C→D→D→C→C→B→B→A→A→B,1
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→D→D→B,1
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→D,1
A→A→B→B→C→C→D→D→C→C→A→A→E→E→A→A→E→E→F→F→A,1
A→A→B→B→C→C→A→A→D→D→C→C→A→A→D→D→A→A→C→C→B,1
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→D→D→B→B→C,1
A→A→B→B→A→A→B→B→C→C→D→D→C→C→B→B→D→D→A→A→B,1
A→A→B→B→C→C→D→D→C→C→B→B→A→A→B→B→C→C→D→D→C,1
A→A→B→B→C→C→A→A→D→D→B→B→C→C→B→B→A→A→C→C→B,1
A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→C→C→D→D→B,1
A→A→B→B→C→C→D→D→C→C→A→A→B→B→C→C→D→D→A→A→B,1
A→A→B→B→C→C→B→B→A→A→C→C→D→D→C→C→B→B→A→A→C,1
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→C→C→A,1
A→A→B→B→A→A→C→C→A→A→C→C→B→B→A→A→B→B→A→A→C,1
A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→B→B→A,1
A→A→B→B→A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B,1
A→A→B→B→A→A→C→C→D→D→A→A→B→B→C→C→A→A→D→D→B,1
A→A→B→B→C→C→A→A→D→D→B→B→C→C→B→B→C→C→A→A→C,1
A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D→D→B→B→C,1
A→A→B→B→C→C→D→D→C→C→B→B→A→A→B→B→C→C→B→B→C,1
A→A→B→B→C→C→A→A→C→C→A→A→B→B→C→C→A→A→D→D→C,1
A→A→B→B→C→C→A→A→B→B→D→D→B→B→A→A→C→C→A→A→B,1
A→A→B→B→C→C→B→B→C→C→A→A→B→B→D→D→B→B→C→C→B,1
A→A→B→B→C→C→B→B→D→D→E→E→F→F→B→B→D→D→B→B→D,1
A→A→B→B→C→C→B→B→A→A→D→D→B→B→A→A→B→B→D→D→B,1
A→A→B→B→A→A→C→C→D→D→C→C→A→A→C→C→B→B→A→A→C,1
A→A→B→B→C→C→B→B→A→A→B→B→A→A→C→C→B→B→C→C→B,1
A→A→B→B→A→A→B→B→A→A→C→C→D→D→A→A→B→B→A→A→B,1
A→A→B→B→A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→A,1
A→A→B→B→C→C→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D,1
A→A→B→B→C→C→A→A→C→C→A→A→B→B→D→D→A→A→B→B→C,1
A→A→B→B→C→C→A→A→D→D→C→C→D→D→C→C→A→A→B→B→E,1
A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→D→D→B,1
A→A→B→B→C→C→D→D→B→B→A→A→C→C→B→B→A→A→B→B→C,1
A→A→B→B→A→A→C→C→B→B→C→C→A→A→B→B→C→C→B→B→A,1
A→A→B→B→C→C→D→D→B→B→D→D→C→C→B→B→D→D→C→C→E,1
A→A→B→B→C→C→B→B→A→A→D→D→B→B→A→A→B→B→C→C,1
A→A→B→B→A→A→B→B→C→C→B→B→A→A→D→D→B→B→A→A→B,1
A→A→B→B→A→A→B→B→A→A→C→C→D→D→A→A→B→B→C→C→A,1
A→A→B→B→C→C→A→A→B→B→C→C→A→A→D→D→B→B→A→A→C,1
A→A→B→B→A→A→C→C→D→D→A→A→C→C→D→D→A→A→C→C→D,1
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→D→D→C→C→B,1
A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→D→D→A,1
A→A→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A→A→B→B→A,1
A→A→B→B→A→A→C→C→D→D→A→A→B→B→C→C→A→A→B→B→C,1
A→A→B→B→C→C→D→D→A→A→D→D→C→C→B→B→A→A→D→D→C,1
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→D→D→C→C→A,1
A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C→C→D→D→E,1
A→A→B→B→C→C→B→B→D→D→B→B→D→D→B→B→D→D→B→B→D,1
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C→C→D,1
A→A→B→B→C→C→D→D→B→B→C→C→B→B→A→A→D→D→C→C→B,1
A→A→B→B→C→C→A→A→B→B→D→D→C→C→A→A→B→B→A→A→B,1
A→A→B→B→A→A→C→C→A→A→B→B→C→C→A→A→C→C→A→A→B,1
A→A→B→B→C→C→D→D→B→B→A→A→B→B→C→C→A→A→B→B→D,1
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→D→D→C→C→D,1
A→A→B→B→A→A→B→B→A→A→B→B→C→C→D→D→A→A→B→B→A,1
A→A→B→B→C→C→B→B→C→C→B→B→C→C→D→D→C→C→B→B→C,1
A→A→B→B→A→A→B→B→A→A→C→C→D→D→C→C→E→E→D→D→C,1
A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C→C→B→B→D,1
A→A→B→B→C→C→D→D→C→C→B→B→A→A→D→D→C→C→B→B→A,1
A→A→B→B→A→A→C→C→A→A→C→C→B→B→A→A→D→D→B→B→A,1
A→A→B→B→A→A→C→C→A→A→C→C→A→A→B→B→A→A→C→C→B,1
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C→C→D→D→C,1
A→A→B→B→C→C→A→A→B→B→C→C→D→D→C→C→B→B→C→C→A,1
A→A→B→B→C→C→B→B→A→A→D→D→A→A→D→D→A→A→D→D→A,1
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→D→D→A→A→B,1
A→A→B→B→C→C→D→D→A→A→C→C→A→A→D→D→B→B→C→C→A,1
A→A→B→B→C→C→D→D→E→E→B→B→C→C→D→D→B→B→E→E→D,1
A→A→B→B→A→A→C→C→D→D→E→E→F→F→E→E→F→F→G→G→B,1
A→A→B→B→C→C→B→B→A→A→D→D→A→A→C→C→B→B→A→A→D,1
A→A→B→B→C→C→A→A→C→C→A→A→B→B→C→C→A→A→C→C→B,1
A→A→B→B→A→A→B→B→A→A→C→C→A→A→B→B→A→A→B→B→C,1
A→A→B→B→C→C→A→A→B→B→D→D→B→B→A→A→C→C→B→B→A,1
A→A→B→B→C→C→D→D→A→A→B→B→C→C→B→B→A→A→D→D→A,1
A→A→B→B→C→C→D→D→E→E→D→D→C→C→E→E→D→D→C→C→E,1
A→A→B→B→C→C→D→D→B→B→C→C→B→B→D→D→C→C→B→B→C,1
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→D→D,1
A→A→B→B→C→C→A→A→C→C→D→D→A→A→C→C→B→B→A→A→C,1
A→A→B→B→C→C→B→B→A→A→B→B→C→C→D→D→C→C→B→B→A,1
A→A→B→B→C→C→A→A→C→C→A→A→B→B→A→A→C→C→B→B→A,1
A→A→B→B→A→A→C→C→D→D→C→C→D→D→B→B→A→A→B→B→A,1
A→A→B→B→C→C→A→A→D→D→A→A→B→B→C→C→A→A→D→D→B,1
A→A→B→B→A→A→C→C→D→D→C→C→D→D→A→A→B→B→A→A→B,1
A→A→B→B→C→C→B→B→C→C→D→D→C→C→B→B→C→C→B→B→C,1
A→A→B→B→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C,1
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→D,1
A→A→B→B→C→C→B→B→C→C→A→A→D→D→C→C→B→B→A→A→C,1
A→A→B→B→C→C→D→D→C→C→D→D→C→C→B→B→A→A→C→C→D,1
A→A→B→B→A→A→C→C→D→D→A→A→C→C→A→A→D→D→A→A→C,1
A→A→B→B→C→C→A→A→B→B→D→D→C→C→B→B→A→A→C→C→A,1
A→A→B→B→A→A→C→C→A→A→C→C→B→B→A→A→C→C→A→A→C,1
A→A→B→B→C→C→D→D→C→C→D→D→C→C→B→B→D→D→C→C→B,1
A→A→B→B→C→C→A→A→C→C→A→A→B→B→C→C→A→A→C→C→A,1
A→A→B→B→A→A→C→C→A→A→B→B→D→D→B→B→A→A→C→C→A,1
A→A→B→B→C→C→D→D→C→C→B→B→C→C→D→D→A→A→B→B→C,1
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→D→D→B,1
A→A→B→B→C→C→D→D→A→A→C→C→D→D→C→C→D→D→A→A→C,1
A→A→B→B→A→A→B→B→A→A→C→C→A→A→B→B→B→B→A→A→C,1
A→A→B→B→C→C→B→B→A→A→B→B→A→A→D→D→B→B→A→A→B,1
A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→A→A→B→B→A,1
A→A→B→B→C→C→D→D→E→E→D→D→C→C→D→D→E→E→D→D→C,1
A→A→B→B→C→C→B→B→C→C→A→A→B→B→D→D→C→C→B→B→A,1
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→B→B→A→A→C,1
A→A→B→B→C→C→D→D→A→A→C→C→D→D→A→A→B→B→C→C→D,1
A→A→B→B→C→C→D→D→B→B→A→A→C→C→B→B→D→D→A→A→B,1
A→A→B→B→C→C→A→A→B→B→D→D→B→B→A→A→B→B→D→D→B,1
A→A→B→B→C→C→D→D→B→B→D→D→B→B→C→C→A→A→B→B→D,1
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→E→E→A→A→B,1
A→A→B→B→C→C→B→B→A→A→B→B→A→A→B→B→C→C→B→B→A,1
A→A→B→B→C→C→B→B→A→A→D→D→E→E→F→F→E→E→A→A→F,1
A→A→B→B→A→A→C→C→D→D→C→C→E→E→A→A→C→C→D→D→C,1
A→A→B→B→C→C→A→A→C→C→B→B→D→D→B→B→A→A→C→C→B,1
A→A→B→B→C→C→B→B→C→C→A→A→B→B→D→D→A→A→C→C→B,1
A→A→B→B→C→C→A→A→D→D→A→A→B→B→A→A→C→C→D→D→A,1
A→A→B→B→C→C→A→A→B→B→C→C→A→A→C→C→A→A→B→B→A,1
A→A→B→B→C→C→B→B→C→C→A→A→C→C→B→B→C→C→B→B→A,1
A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→B→B→C→C→D,1
A→A→B→B→C→C→D→D→A→A→C→C→D→D→B→B→E→E→B→B→E,1
A→A→B→B→C→C→B→B→C→C→D→D→E→E→D→D→E→E→D→D→E,1
A→A→B→B→A→A→C→C→B→B→A→A→C→C→D→D→B→B→A→A→C,1
A→A→B→B→A→A→C→C→A→A→B→B→A→A→B→B→A→A→C→C→B,1
A→A→B→B→C→C→D→D→C→C→E→E→B→B→A→A→F→F→C→C→A,1
A→A→B→B→A→A→C→C→D→D→A→A→B→B→C→C→A→A→B→B→A,1
A→A→B→B→A→A→C→C→A→A→B→B→C→C→A→A→D→D→A→A→B,1
A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→D→D→C→C→B,1
A→A→B→B→C→C→A→A→B→B→D→D→B→B→A→A→C→C→A→A→C,1
A→A→B→B→C→C→D→D→B→B→A→A→B→B→A→A→B→B→C→C,1
A→A→B→B→A→A→C→C→A→A→B→B→D→D→B→B→A→A→B→B→A,1
